dolocni clen;nemsko;slovensko
das;Fruehstueck;zajtrk
das;Mittagessen;kosilo
das;Abendessen;veèerja
das;Salz;sol
der;Pfeffer;poper
der;Hamburger;hamburger
der;Toast;opeèenec
die;Kekse;piškota
der;Salat;solata
die;Limonade;limonada
der;Pfannkuchen;palaèinke
das;Muesli;kosmièi
das;Steak;steak
der;Schinken;šunka
der;Tee;èaj
die;Marmelade;marmelada
das;Brot;kruh
der;Honig;med
der;Kaffee;kava
die;Kartoffelchips;pomfirt
die;Kartoffel(n);krompir
die;Suppe;juha
der;Zucker;sladkor
die;Erbsen;grah
die;Spaghetti;špageti
