dolocni clen;nemsko;slovensko
der;Zeh;prst na nogi
die;Hand;dlan
das;Knie;koleno
der;Ellbogen;komolec
der;Bauch;trebuh
die;Schulter;rama
der;Nagel;noht
die;Hueften;boki
der;Knoechel;gleženj
die;Brust;prsni koš
die;Taile;pas
der;Arm;roka
der;Ruecken;hrbet
der;Daumen;palec
das;Bain;noga
der;Finger;prst
der;Fuss;stopalo
der;Po;zadnjica
die;Ferse;peta
der;Kopf;glava
das;Ohr;uho
das;Auge;oko
die;Zaehne;zobje
die;Stirn;èelo
die;Zunge;jezik
die;Nase;nos
der;Mund;usta
die;Haare;lasje
das;Kinn;brada
die;Wange;lice
der;Hals;vrat
